学校代号,学校名称,专业代号,专业名称,计划数,分数线,位次
9,温州医科大学,21,临床药学,1,580,75732
9,温州医科大学,25,医学检验技术,1,595,58076
9,温州医科大学,31,生物技术,1,567,91217
9,温州医科大学,39,护理学,1,562,97307
9,温州医科大学,43,生物制药,1,549,113167
10,浙江海洋大学,12,护理学,1,565,93950
12,浙江中医药大学,22,护理学,2,544,119264
12,浙江中医药大学,29,生物科学,1,548,114107
12,浙江中医药大学,30,医学实验技术,1,581,73841
33,浙江树人学院,16,土木工程,78,484,189814
33,浙江树人学院,17,智能建造,1,528,138791
33,浙江树人学院,30,环境工程,40,489,185245
33,浙江树人学院,31,应用化学,11,505,167266
33,浙江树人学院,32,生物工程,6,499,173390
33,浙江树人学院,34,环境生态工程,55,487,186796
33,浙江树人学院,501,国际金融,80,471,203559
33,浙江树人学院,503,电子商务,78,475,199016
33,浙江树人学院,504,商务数据分析与应用,34,478,196077
33,浙江树人学院,506,现代文秘(涉外方向),60,465,208632
36,杭州医学院,12,医学检验技术,1,548,114431
36,杭州医学院,20,智能医学工程,2,538,126933
41,浙江艺术职业学院,510,音像技术,5,489,184551
41,浙江艺术职业学院,513,影视编导,9,488,185555
41,浙江艺术职业学院,519,文化创意与策划,55,485,189050
41,浙江艺术职业学院,523,公共文化服务与管理,56,478,196504
42,浙江交通职业技术学院,510,城市轨道交通运营管理,1,565,94118
43,浙江工商职业技术学院,503,大数据与会计(中外合作办学),44,485,189567
43,浙江工商职业技术学院,508,国际商务(中外合作办学),57,461,213024
43,浙江工商职业技术学院,511,商务数据分析与应用,9,489,185010
43,浙江工商职业技术学院,518,工程造价,32,487,186988
43,浙江工商职业技术学院,521,建筑工程技术,6,487,187285
43,浙江工商职业技术学院,527,软件技术,28,489,185371
43,浙江工商职业技术学院,532,应用电子技术,11,489,185210
44,浙江工贸职业技术学院,502,材料工程技术,12,485,188857
44,浙江工贸职业技术学院,505,模具设计与制造,14,488,186237
44,浙江工贸职业技术学院,506,工业机器人技术(中外合作办学),40,459,213920
44,浙江工贸职业技术学院,507,环境工程技术,28,476,198963
44,浙江工贸职业技术学院,509,智能网联汽车技术,23,486,188258
44,浙江工贸职业技术学院,510,电子信息工程技术,68,481,193690
44,浙江工贸职业技术学院,512,软件技术,90,482,192274
44,浙江工贸职业技术学院,513,人工智能技术应用,65,481,193624
44,浙江工贸职业技术学院,514,大数据技术,59,482,192644
44,浙江工贸职业技术学院,516,动漫制作技术,1,513,157308
44,浙江工贸职业技术学院,518,工业设计,6,487,187580
44,浙江工贸职业技术学院,524,眼视光技术(中外合作办学),71,469,205263
44,浙江工贸职业技术学院,525,商务英语,110,476,198898
44,浙江工贸职业技术学院,526,市场营销,11,477,197318
44,浙江工贸职业技术学院,527,国际经济与贸易,66,476,198881
44,浙江工贸职业技术学院,528,电子商务,94,478,196488
44,浙江工贸职业技术学院,529,现代物流管理,51,475,199655
44,浙江工贸职业技术学院,530,商务数据分析与应用,41,475,199951
44,浙江工贸职业技术学院,532,酒店管理与数字化运营,2,485,189247
44,浙江工贸职业技术学院,534,人力资源管理,42,476,198657
44,浙江工贸职业技术学院,535,金融服务与管理,41,474,200061
44,浙江工贸职业技术学院,536,知识产权管理,57,484,190452
46,浙江商业职业技术学院,502,现代物流管理(中美合作),33,460,213114
46,浙江商业职业技术学院,503,智能物流技术,10,488,185510
46,浙江商业职业技术学院,504,工商企业管理(数字管理方向),11,489,184728
46,浙江商业职业技术学院,505,连锁经营与管理,8,489,184793
46,浙江商业职业技术学院,507,市场营销(中法合作),31,465,208909
46,浙江商业职业技术学院,508,金融科技应用,23,488,186105
46,浙江商业职业技术学院,513,电子商务(中美合作),28,480,194660
46,浙江商业职业技术学院,518,导游（国际旅游）,3,489,185238
46,浙江商业职业技术学院,520,餐饮智能管理,5,488,185736
46,浙江商业职业技术学院,523,智能控制技术,10,489,184631
46,浙江商业职业技术学院,525,应用电子技术,1,522,147022
46,浙江商业职业技术学院,526,工业互联网应用,40,486,187675
47,浙江警官职业学院,507,建筑消防技术,142,457,216371
47,浙江警官职业学院,508,安全防范技术,132,458,214976
47,浙江警官职业学院,509,智能安防运营管理,87,460,213590
47,浙江警官职业学院,510,无人机应用技术,30,483,191012
47,浙江警官职业学院,512,密码技术应用,91,464,209794
47,浙江警官职业学院,513,移动应用开发,85,464,209633
47,浙江警官职业学院,514,司法鉴定技术,20,481,192938
48,浙江工业职业技术学院,503,工业机器人技术,27,480,194161
48,浙江工业职业技术学院,504,机械制造及自动化,52,482,192159
48,浙江工业职业技术学院,505,数控技术,69,474,200048
48,浙江工业职业技术学院,506,智能制造装备技术,2,484,189812
48,浙江工业职业技术学院,507,信息安全技术应用,7,481,193694
48,浙江工业职业技术学院,508,计算机应用技术(智能移动终端软件开发),38,482,191966
48,浙江工业职业技术学院,509,工业设计,67,471,202961
48,浙江工业职业技术学院,510,视觉传达设计,74,479,195608
48,浙江工业职业技术学院,511,大数据技术,36,480,194249
48,浙江工业职业技术学院,512,智能网联汽车技术,8,478,196771
48,浙江工业职业技术学院,514,电子信息工程技术,32,478,196232
48,浙江工业职业技术学院,515,微电子技术,39,474,200389
48,浙江工业职业技术学院,519,统计与大数据分析,81,481,193327
48,浙江工业职业技术学院,520,电子商务,44,478,196742
48,浙江工业职业技术学院,521,国际经济与贸易,43,477,197120
48,浙江工业职业技术学院,522,市场营销,82,468,206008
48,浙江工业职业技术学院,523,跨境电子商务,95,470,204417
48,浙江工业职业技术学院,524,建筑工程技术,10,469,205123
48,浙江工业职业技术学院,525,工程造价,97,469,204911
48,浙江工业职业技术学院,526,智能建造技术,24,469,205544
48,浙江工业职业技术学院,527,道路与桥梁工程技术,95,465,209324
